uri,name,county_name
http://n2t.net/ark:/39333/ncg/place/NCG00798,Bear Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG00862,Beartree Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG01519,Bloodrun Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG02057,Buckhorn Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG03366,Collins Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG05185,Ferrells Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG06355,Gulf Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG08275,Kit Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG08336,Lacys Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG08452,Landrum Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG08846,Little Beaver Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG09329,Loves Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG10722,Neville Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG11088,Obies Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG11325,Overcup Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG11437,Panther Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG11942,Pitts Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG12027,Pokeberry Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG12915,Robeson Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG13637,Shaddox Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG14635,Stinking Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG15080,Terrell Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG15183,Tick Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG16389,Wilkinson Creek,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG01612,Bolin Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG01642,Booker Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG02025,Buck Quarter Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG02503,Cane Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG02750,Cates Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG02887,Chapel Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG03366,Collins Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG05185,Ferrells Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG06713,Haw Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG07137,Hogan Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG08718,Lick Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG09835,McGowan Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG09930,Meeting of the Waters,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG10722,Neville Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG11152,Old Field Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG11731,Phils Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG12699,Rhodes Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG13620,Sevenmile Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG14729,Strouds Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG15161,Threemile Creek,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG15480,Turkey Hill Creek,Orange County
