uri,name,geometry,county_name
http://n2t.net/ark:/39333/ncg/place/NCG00798,Bear Creek,"{""type"":""Point"",""coordinates"":[-79.20724,35.63098]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG00862,Beartree Creek,,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG01519,Bloodrun Creek,"{""type"":""Point"",""coordinates"":[-79.54808,35.69681]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG02057,Buckhorn Creek,,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG03366,Collins Creek,"{""type"":""Point"",""coordinates"":[-79.23613,35.84986]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG05185,Ferrells Creek,"{""type"":""Point"",""coordinates"":[-79.19029,35.82125]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG06355,Gulf Creek,"{""type"":""Point"",""coordinates"":[-79.02863,35.55432]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG08275,Kit Creek,"{""type"":""Point"",""coordinates"":[-78.92779,35.86181]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG08336,Lacys Creek,"{""type"":""Point"",""coordinates"":[-79.46085,35.77431]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG08452,Landrum Creek,"{""type"":""Point"",""coordinates"":[-79.26918,35.66931]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG08846,Little Beaver Creek,"{""type"":""Point"",""coordinates"":[-79.0139,35.69848]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG09329,Loves Creek,"{""type"":""Point"",""coordinates"":[-79.4228,35.73264]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG10722,Neville Creek,"{""type"":""Point"",""coordinates"":[-79.1064,35.89959]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG11088,Obies Creek,,Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG11325,Overcup Creek,"{""type"":""Point"",""coordinates"":[-79.02918,35.81543]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG11437,Panther Creek,"{""type"":""Point"",""coordinates"":[-78.94556,35.83876]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG11942,Pitts Creek,"{""type"":""Point"",""coordinates"":[-78.95918,35.75459]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG12027,Pokeberry Creek,"{""type"":""Point"",""coordinates"":[-79.13112,35.76348]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG12915,Robeson Creek,"{""type"":""Point"",""coordinates"":[-79.0839,35.70237]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG13637,Shaddox Creek,"{""type"":""Point"",""coordinates"":[-79.04974,35.59904]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG14635,Stinking Creek,"{""type"":""Point"",""coordinates"":[-79.07946,35.68321]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG15080,Terrell Creek,"{""type"":""Point"",""coordinates"":[-79.22752,35.83292]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG15183,Tick Creek,"{""type"":""Point"",""coordinates"":[-79.34085,35.68375]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG16389,Wilkinson Creek,"{""type"":""Point"",""coordinates"":[-79.16279,35.78237]}",Chatham County
http://n2t.net/ark:/39333/ncg/place/NCG01612,Bolin Creek,"{""type"":""Point"",""coordinates"":[-79.01973,35.92209]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG01642,Booker Creek,"{""type"":""Point"",""coordinates"":[-79.01973,35.92237]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG02025,Buck Quarter Creek,,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG02503,Cane Creek,"{""type"":""Point"",""coordinates"":[-79.26835,35.90958]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG02750,Cates Creek,"{""type"":""Point"",""coordinates"":[-79.08029,36.07125]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG02887,Chapel Creek,"{""type"":""Point"",""coordinates"":[-79.0239,35.89848]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG03366,Collins Creek,"{""type"":""Point"",""coordinates"":[-79.23613,35.84986]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG05185,Ferrells Creek,"{""type"":""Point"",""coordinates"":[-79.19029,35.82125]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG06713,Haw Creek,,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG07137,Hogan Creek,"{""type"":""Point"",""coordinates"":[-79.01973,35.92209]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG08718,Lick Creek,,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG09835,McGowan Creek,"{""type"":""Point"",""coordinates"":[-79.14474,36.08653]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG09930,Meeting of the Waters,"{""type"":""Point"",""coordinates"":[-79.02695,35.89876]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG10722,Neville Creek,"{""type"":""Point"",""coordinates"":[-79.1064,35.89959]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG11152,Old Field Creek,"{""type"":""Point"",""coordinates"":[-79.04946,35.98986]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG11731,Phils Creek,"{""type"":""Point"",""coordinates"":[-79.11057,35.89848]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG12699,Rhodes Creek,"{""type"":""Point"",""coordinates"":[-78.99807,36.0432]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG13620,Sevenmile Creek,"{""type"":""Point"",""coordinates"":[-79.13251,36.06958]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG14729,Strouds Creek,"{""type"":""Point"",""coordinates"":[-79.06223,36.08514]}",Orange County
http://n2t.net/ark:/39333/ncg/place/NCG15161,Threemile Creek,,Orange County
http://n2t.net/ark:/39333/ncg/place/NCG15480,Turkey Hill Creek,"{""type"":""Point"",""coordinates"":[-79.20696,35.98625]}",Orange County
