swamp,swampLabel,elevation,location
http://www.wikidata.org/entity/Q32848209,Buck Swamp,93,Point(-80.244722222 34.840833333)
http://www.wikidata.org/entity/Q34735747,MacDonald Swamp,89,Point(-79.1375 35.331666666)
http://www.wikidata.org/entity/Q32848630,Buffalo Creek Cypress Swamp,84,Point(-78.410277777 35.805555555)
http://www.wikidata.org/entity/Q34732170,Little Dismal Swamp,65,Point(-78.473611111 35.334166666)
http://www.wikidata.org/entity/Q32837659,Beaverdam Dismal,63,Point(-78.515833333 35.2375)
http://www.wikidata.org/entity/Q34721217,Lake Myra,61,Point(-78.434722222 35.765833333)
http://www.wikidata.org/entity/Q34685009,Goose Pond,60,Point(-79.100833333 34.881111111)
http://www.wikidata.org/entity/Q32843031,Black Swamp,58,Point(-78.933055555 35.298888888)
http://www.wikidata.org/entity/Q32843761,Blue Desert,57,Point(-79.061388888 34.806666666)
http://www.wikidata.org/entity/Q34668418,The Desert,53,Point(-79.036944444 34.858055555)
